Machine_ID,Timestamp,Temperature,Pressure,Vibration_Level,Humidity,Power_Consumption,Failure_Status
MACHINE_001,2025-01-01 00:00:00,36.11,149.11,2.16,54.74,27.4,0
MACHINE_002,2025-01-01 00:10:00,73.98,486.42,8.08,50.01,20.35,1
MACHINE_003,2025-01-01 00:20:00,64.66,224.09,6.76,46.93,45.14,0
MACHINE_004,2025-01-01 00:30:00,67.5,124.12,9.13,60.4,77.88,0
MACHINE_005,2025-01-01 00:40:00,43.8,212.11,8.93,75.1,22.77,0
MACHINE_006,2025-01-01 00:50:00,28.02,422.57,2.25,72.44,48.56,0
MACHINE_007,2025-01-01 01:00:00,78.58,387.26,5.66,30.9,91.98,0
MACHINE_008,2025-01-01 01:10:00,51.74,315.42,5.29,74.41,37.0,0
MACHINE_009,2025-01-01 01:20:00,48.29,112.14,1.25,71.37,46.63,1
MACHINE_010,2025-01-01 01:30:00,51.03,202.91,8.66,80.74,28.06,0
MACHINE_001,2025-01-01 01:40:00,23.96,379.24,9.67,85.86,71.82,0
MACHINE_002,2025-01-01 01:50:00,36.2,264.71,5.1,37.65,86.23,0
MACHINE_003,2025-01-01 02:00:00,69.45,110.12,8.82,76.23,35.07,0
MACHINE_004,2025-01-01 02:10:00,27.26,479.23,4.3,59.49,88.93,0
MACHINE_005,2025-01-01 02:20:00,30.93,221.86,6.01,35.1,66.52,0
MACHINE_006,2025-01-01 02:30:00,77.77,254.81,4.07,85.39,54.53,0
MACHINE_007,2025-01-01 02:40:00,40.52,252.93,4.8,75.9,12.53,0
MACHINE_008,2025-01-01 02:50:00,54.53,301.43,1.85,53.93,69.98,0
MACHINE_009,2025-01-01 03:00:00,30.12,148.28,0.35,80.09,50.81,0
MACHINE_010,2025-01-01 03:10:00,25.1,349.98,7.8,63.48,72.17,0
MACHINE_001,2025-01-01 03:20:00,73.54,157.88,1.65,63.3,74.87,0
MACHINE_002,2025-01-01 03:30:00,73.04,478.62,9.14,37.8,10.11,0
MACHINE_003,2025-01-01 03:40:00,35.11,256.79,5.25,31.45,99.56,0
MACHINE_004,2025-01-01 03:50:00,60.97,122.56,9.96,63.63,37.41,0
MACHINE_005,2025-01-01 04:00:00,79.02,265.35,8.5,30.64,73.36,0
MACHINE_006,2025-01-01 04:10:00,47.37,393.5,1.48,65.24,25.07,0
MACHINE_007,2025-01-01 04:20:00,49.68,342.68,3.42,75.6,7.62,0
MACHINE_008,2025-01-01 04:30:00,61.07,420.13,3.64,64.6,40.43,0
MACHINE_009,2025-01-01 04:40:00,34.65,307.18,7.5,47.48,90.32,1
MACHINE_010,2025-01-01 04:50:00,25.75,392.2,5.09,65.31,85.73,1
MACHINE_001,2025-01-01 05:00:00,70.88,113.44,1.55,45.03,59.59,0
MACHINE_002,2025-01-01 05:10:00,45.21,240.26,1.85,53.43,41.25,0
MACHINE_003,2025-01-01 05:20:00,42.02,286.85,9.07,58.1,84.13,0
MACHINE_004,2025-01-01 05:30:00,42.62,144.8,2.81,82.23,45.78,0
MACHINE_005,2025-01-01 05:40:00,34.08,404.8,9.63,67.97,21.8,0
MACHINE_006,2025-01-01 05:50:00,71.87,113.7,4.85,39.7,35.95,0
MACHINE_007,2025-01-01 06:00:00,48.09,184.46,8.47,89.64,8.68,0
MACHINE_008,2025-01-01 06:10:00,69.3,209.84,6.93,66.92,84.05,0
MACHINE_009,2025-01-01 06:20:00,38.03,395.72,0.53,72.54,98.73,0
MACHINE_010,2025-01-01 06:30:00,70.6,181.98,6.57,62.55,70.67,0
MACHINE_001,2025-01-01 06:40:00,48.04,143.57,7.08,49.47,5.62,0
MACHINE_002,2025-01-01 06:50:00,57.42,333.02,9.55,87.32,36.92,0
MACHINE_003,2025-01-01 07:00:00,67.78,220.22,7.92,65.56,34.39,0
MACHINE_004,2025-01-01 07:10:00,35.14,483.45,4.52,48.47,33.23,0
MACHINE_005,2025-01-01 07:20:00,73.46,480.57,2.99,40.22,68.95,0
MACHINE_006,2025-01-01 07:30:00,45.12,133.23,5.16,74.84,24.27,0
MACHINE_007,2025-01-01 07:40:00,31.9,222.61,9.69,63.47,39.08,0
MACHINE_008,2025-01-01 07:50:00,64.8,184.72,3.88,31.64,61.69,0
MACHINE_009,2025-01-01 08:00:00,76.78,420.34,7.16,42.91,82.02,0
MACHINE_010,2025-01-01 08:10:00,66.02,238.54,3.92,71.07,88.19,0
MACHINE_001,2025-01-01 08:20:00,29.43,183.76,2.94,71.28,78.79,0
MACHINE_002,2025-01-01 08:30:00,34.32,494.01,4.78,48.7,77.44,0
MACHINE_003,2025-01-01 08:40:00,63.27,344.9,3.82,49.55,43.84,0
MACHINE_004,2025-01-01 08:50:00,35.73,423.09,5.95,53.45,93.24,0
MACHINE_005,2025-01-01 09:00:00,33.85,408.58,3.44,62.69,99.77,1
MACHINE_006,2025-01-01 09:10:00,57.71,255.83,5.25,38.4,76.28,0
MACHINE_007,2025-01-01 09:20:00,68.05,295.47,8.29,85.61,22.54,0
MACHINE_008,2025-01-01 09:30:00,37.59,393.32,4.45,46.62,35.16,1
MACHINE_009,2025-01-01 09:40:00,35.09,246.02,9.63,66.89,19.6,1
MACHINE_010,2025-01-01 09:50:00,51.11,474.88,9.62,57.33,7.72,0
MACHINE_001,2025-01-01 10:00:00,25.45,430.31,3.37,85.85,46.44,0
MACHINE_002,2025-01-01 10:10:00,22.09,168.3,0.67,75.3,15.32,1
MACHINE_003,2025-01-01 10:20:00,31.66,318.65,2.64,46.59,77.04,0
MACHINE_004,2025-01-01 10:30:00,65.08,114.48,3.36,59.46,93.13,0
MACHINE_005,2025-01-01 10:40:00,67.31,103.29,3.44,82.48,87.95,0
MACHINE_006,2025-01-01 10:50:00,74.74,303.49,7.99,39.91,7.42,0
MACHINE_007,2025-01-01 11:00:00,20.88,376.39,9.1,41.93,25.57,0
MACHINE_008,2025-01-01 11:10:00,39.71,343.37,6.28,86.97,5.46,0
MACHINE_009,2025-01-01 11:20:00,33.72,172.06,0.61,77.8,62.23,0
MACHINE_010,2025-01-01 11:30:00,53.87,227.77,2.96,82.99,23.77,0
MACHINE_001,2025-01-01 11:40:00,29.64,163.16,6.59,89.04,54.71,0
MACHINE_002,2025-01-01 11:50:00,66.14,194.07,1.76,31.19,7.62,0
MACHINE_003,2025-01-01 12:00:00,24.71,230.76,8.55,76.0,75.28,0
MACHINE_004,2025-01-01 12:10:00,34.49,344.22,0.49,55.51,68.34,1
MACHINE_005,2025-01-01 12:20:00,37.16,332.23,3.44,64.09,55.34,0
MACHINE_006,2025-01-01 12:30:00,50.83,485.79,8.56,34.38,15.28,0
MACHINE_007,2025-01-01 12:40:00,73.39,104.38,4.07,46.34,79.04,0
MACHINE_008,2025-01-01 12:50:00,64.65,296.4,3.29,74.98,72.88,0
MACHINE_009,2025-01-01 13:00:00,78.6,489.76,7.88,46.52,32.89,0
MACHINE_010,2025-01-01 13:10:00,54.44,321.26,5.69,87.0,45.33,0
MACHINE_001,2025-01-01 13:20:00,72.2,177.73,6.0,43.88,29.16,0
MACHINE_002,2025-01-01 13:30:00,46.15,164.11,3.13,46.37,22.05,0
MACHINE_003,2025-01-01 13:40:00,20.23,191.3,2.0,39.82,70.46,0
MACHINE_004,2025-01-01 13:50:00,53.36,265.79,8.1,47.76,13.65,0
MACHINE_005,2025-01-01 14:00:00,68.22,361.79,9.09,76.66,75.18,0
MACHINE_006,2025-01-01 14:10:00,73.03,378.6,8.33,73.09,99.27,0
MACHINE_007,2025-01-01 14:20:00,63.49,392.85,8.79,41.23,22.83,0
MACHINE_008,2025-01-01 14:30:00,61.41,443.55,8.44,66.68,77.77,0
MACHINE_009,2025-01-01 14:40:00,47.7,452.21,7.81,49.35,87.67,0
MACHINE_010,2025-01-01 14:50:00,20.67,359.54,1.56,47.63,84.56,0
MACHINE_001,2025-01-01 15:00:00,67.05,122.02,6.16,38.85,6.85,0
MACHINE_002,2025-01-01 15:10:00,75.24,496.37,2.66,78.05,26.24,0
MACHINE_003,2025-01-01 15:20:00,55.92,448.7,4.71,60.27,36.66,0
MACHINE_004,2025-01-01 15:30:00,70.03,327.78,5.37,36.26,88.59,0
MACHINE_005,2025-01-01 15:40:00,36.61,273.24,0.31,69.01,71.7,0
MACHINE_006,2025-01-01 15:50:00,53.53,232.87,4.21,88.6,69.85,0
MACHINE_007,2025-01-01 16:00:00,41.77,345.73,2.78,88.89,10.71,0
MACHINE_008,2025-01-01 16:10:00,54.06,293.39,6.74,58.96,6.14,0
MACHINE_009,2025-01-01 16:20:00,36.95,312.31,4.76,49.18,87.39,0
MACHINE_010,2025-01-01 16:30:00,66.55,188.66,9.0,63.21,41.42,0
MACHINE_001,2025-01-01 16:40:00,25.29,349.01,0.64,87.88,57.99,0
MACHINE_002,2025-01-01 16:50:00,69.77,311.79,3.56,45.99,71.78,0
MACHINE_003,2025-01-01 17:00:00,69.13,499.05,4.56,74.58,87.29,0
MACHINE_004,2025-01-01 17:10:00,56.64,212.17,1.4,65.31,46.25,0
MACHINE_005,2025-01-01 17:20:00,29.52,362.87,4.41,51.9,22.55,0
MACHINE_006,2025-01-01 17:30:00,38.18,176.7,5.17,41.42,85.45,0
MACHINE_007,2025-01-01 17:40:00,79.73,495.3,0.96,38.73,78.11,0
MACHINE_008,2025-01-01 17:50:00,77.67,318.09,3.18,87.43,95.6,0
MACHINE_009,2025-01-01 18:00:00,48.53,199.59,5.34,87.73,22.89,0
MACHINE_010,2025-01-01 18:10:00,20.76,406.88,6.56,83.18,29.65,0
MACHINE_001,2025-01-01 18:20:00,32.13,396.34,6.09,76.16,76.51,1
MACHINE_002,2025-01-01 18:30:00,53.05,343.31,7.22,67.29,5.73,1
MACHINE_003,2025-01-01 18:40:00,50.94,231.41,3.12,39.3,94.73,0
MACHINE_004,2025-01-01 18:50:00,47.79,223.0,0.61,50.48,81.3,0
MACHINE_005,2025-01-01 19:00:00,32.67,129.66,8.34,58.35,66.54,0
MACHINE_006,2025-01-01 19:10:00,38.84,146.13,1.18,39.94,10.1,0
MACHINE_007,2025-01-01 19:20:00,47.5,131.74,0.51,80.8,9.12,0
MACHINE_008,2025-01-01 19:30:00,53.62,356.2,9.74,40.89,10.2,0
MACHINE_009,2025-01-01 19:40:00,55.97,226.16,9.95,79.24,50.89,0
MACHINE_010,2025-01-01 19:50:00,48.44,460.63,6.04,60.87,26.72,1
MACHINE_001,2025-01-01 20:00:00,24.13,195.25,2.16,88.77,55.52,0
MACHINE_002,2025-01-01 20:10:00,72.46,238.29,6.11,52.76,90.91,0
MACHINE_003,2025-01-01 20:20:00,21.66,484.17,5.98,77.4,78.1,0
MACHINE_004,2025-01-01 20:30:00,32.01,157.72,0.62,46.61,65.55,0
MACHINE_005,2025-01-01 20:40:00,35.6,102.06,6.54,47.2,20.92,0
MACHINE_006,2025-01-01 20:50:00,54.81,446.8,9.9,41.62,58.56,0
MACHINE_007,2025-01-01 21:00:00,38.76,487.71,4.13,74.44,8.84,0
MACHINE_008,2025-01-01 21:10:00,33.61,159.71,9.25,56.98,85.27,0
MACHINE_009,2025-01-01 21:20:00,67.04,484.14,0.6,60.01,72.54,0
MACHINE_010,2025-01-01 21:30:00,56.85,327.19,9.87,37.09,8.41,0
MACHINE_001,2025-01-01 21:40:00,61.39,249.74,7.76,84.63,78.79,0
MACHINE_002,2025-01-01 21:50:00,57.99,280.78,8.79,79.49,43.16,0
MACHINE_003,2025-01-01 22:00:00,27.6,498.9,9.13,44.42,26.72,1
MACHINE_004,2025-01-01 22:10:00,72.08,229.65,7.89,43.04,96.05,0
MACHINE_005,2025-01-01 22:20:00,28.33,418.12,2.7,49.07,37.69,0
MACHINE_006,2025-01-01 22:30:00,76.06,314.5,5.13,36.33,15.5,0
MACHINE_007,2025-01-01 22:40:00,78.5,249.55,5.33,40.53,59.22,0
MACHINE_008,2025-01-01 22:50:00,77.11,175.28,1.22,82.96,10.93,0
MACHINE_009,2025-01-01 23:00:00,58.57,396.5,4.65,75.77,85.59,0
MACHINE_010,2025-01-01 23:10:00,55.36,194.22,4.44,34.11,6.92,0
MACHINE_001,2025-01-01 23:20:00,26.54,435.31,6.41,65.75,69.2,0
MACHINE_002,2025-01-01 23:30:00,43.92,456.51,5.42,81.55,35.52,0
MACHINE_003,2025-01-01 23:40:00,71.75,338.57,9.59,66.49,21.66,0
MACHINE_004,2025-01-01 23:50:00,50.74,146.32,9.53,47.4,34.64,0
MACHINE_005,2025-01-02 00:00:00,46.42,499.21,1.25,80.28,47.82,0
MACHINE_006,2025-01-02 00:10:00,39.68,424.49,9.82,79.53,30.56,0
MACHINE_007,2025-01-02 00:20:00,61.88,336.36,7.44,32.84,21.55,0
MACHINE_008,2025-01-02 00:30:00,25.01,348.28,8.75,54.11,13.75,0
MACHINE_009,2025-01-02 00:40:00,78.89,353.05,8.95,50.04,49.13,1
MACHINE_010,2025-01-02 00:50:00,68.05,406.23,5.2,41.54,56.33,0
MACHINE_001,2025-01-02 01:00:00,26.03,428.96,5.04,88.28,59.47,0
MACHINE_002,2025-01-02 01:10:00,66.32,259.05,1.71,66.7,22.41,0
MACHINE_003,2025-01-02 01:20:00,57.41,367.69,5.29,79.42,41.01,0
MACHINE_004,2025-01-02 01:30:00,74.41,164.04,0.15,62.51,47.92,0
MACHINE_005,2025-01-02 01:40:00,23.26,306.92,7.17,74.8,82.77,0
MACHINE_006,2025-01-02 01:50:00,74.49,146.7,4.54,40.26,32.83,0
MACHINE_007,2025-01-02 02:00:00,26.58,195.32,5.39,51.01,65.81,0
MACHINE_008,2025-01-02 02:10:00,34.19,460.33,9.13,78.5,89.14,0
MACHINE_009,2025-01-02 02:20:00,37.37,203.82,9.05,88.73,99.63,0
MACHINE_010,2025-01-02 02:30:00,21.94,361.37,3.14,69.86,99.16,0
MACHINE_001,2025-01-02 02:40:00,55.15,222.57,0.48,71.35,34.99,0
MACHINE_002,2025-01-02 02:50:00,45.49,182.28,7.18,39.65,12.28,0
MACHINE_003,2025-01-02 03:00:00,79.33,468.05,3.25,49.79,62.18,0
MACHINE_004,2025-01-02 03:10:00,33.85,432.17,3.01,65.49,61.37,0
MACHINE_005,2025-01-02 03:20:00,77.32,392.1,0.2,57.8,39.32,0
MACHINE_006,2025-01-02 03:30:00,54.25,331.32,1.82,31.96,55.07,1
MACHINE_007,2025-01-02 03:40:00,26.15,254.65,8.02,61.68,36.81,0
MACHINE_008,2025-01-02 03:50:00,48.94,183.11,9.43,39.71,88.08,0
MACHINE_009,2025-01-02 04:00:00,44.8,209.98,5.37,56.34,38.16,0
MACHINE_010,2025-01-02 04:10:00,20.96,126.76,0.64,80.74,95.59,0
MACHINE_001,2025-01-02 04:20:00,78.38,132.21,6.53,49.26,34.52,0
